,dataset,cv,sample,comp,label,ten_fold
0,bcp,1,1,1,0,6
1,bcp,1,1,2,0,6
2,bcp,1,1,3,0,6
3,bcp,1,1,4,0,6
4,bcp,1,1,5,1,6
5,bcp,1,1,6,0,6
6,bcp,1,1,7,0,6
7,bcp,1,1,8,0,6
8,bcp,1,1,9,0,6
9,bcp,1,1,10,0,6
10,bcp,1,1,11,0,6
11,bcp,1,1,12,0,6
12,bcp,1,1,13,0,6
13,bcp,1,1,14,0,6
14,bcp,1,1,15,0,6
15,bcp,1,1,16,0,6
16,bcp,1,1,17,0,6
17,bcp,1,1,18,0,6
18,bcp,1,1,19,1,6
19,bcp,1,1,20,1,6
20,bcp,1,1,21,1,6
21,bcp,1,1,22,1,6
22,bcp,1,1,23,1,6
23,bcp,1,1,24,0,6
24,bcp,1,1,25,1,6
25,bcp,1,1,26,1,6
26,bcp,1,1,27,0,6
27,bcp,1,1,28,1,6
28,bcp,1,1,29,1,6
29,bcp,1,1,30,1,6
30,bcp,1,1,31,1,6
31,bcp,1,1,32,1,6
32,bcp,1,1,33,1,6
33,bcp,1,1,34,1,6
34,bcp,1,1,35,1,6
35,bcp,1,1,36,1,6
36,bcp,1,1,37,1,6
37,bcp,1,1,38,1,6
38,bcp,1,1,39,0,6
39,bcp,1,1,40,1,6
40,bcp,1,1,41,1,6
41,bcp,1,1,42,1,6
42,bcp,1,1,43,1,6
43,bcp,1,1,44,1,6
44,bcp,1,1,45,1,6
45,bcp,1,1,46,0,6
46,bcp,1,1,47,1,6
47,bcp,1,1,48,0,6
48,bcp,1,1,49,1,6
49,bcp,1,1,50,1,6
50,bcp,1,1,51,0,6
51,bcp,1,1,52,1,6
52,bcp,1,1,53,1,6
53,bcp,1,1,54,0,6
54,bcp,1,1,55,1,6
55,bcp,1,1,56,1,6
56,bcp,1,1,57,0,6
57,bcp,1,1,58,0,6
58,bcp,1,1,59,1,6
59,bcp,1,1,60,1,6
60,bcp,1,1,61,1,6
61,bcp,1,1,62,1,6
62,bcp,1,1,63,0,6
63,bcp,1,1,64,0,6
64,bcp,1,1,65,1,6
65,bcp,1,1,66,1,6
66,bcp,1,1,67,0,6
67,bcp,1,1,68,0,6
68,bcp,1,1,69,0,6
69,bcp,1,1,70,0,6
70,bcp,1,1,71,1,6
71,bcp,1,1,72,0,6
72,bcp,1,1,73,0,6
73,bcp,1,1,74,0,6
74,bcp,1,1,75,0,6
75,bcp,1,1,76,0,6
76,bcp,1,1,77,0,6
77,bcp,1,1,78,1,6
78,bcp,1,1,79,0,6
79,bcp,1,1,80,1,6
80,bcp,1,1,81,0,6
81,bcp,1,1,82,0,6
82,bcp,1,1,83,0,6
83,bcp,1,1,84,0,6
84,bcp,1,1,85,0,6
85,bcp,1,1,86,0,6
86,bcp,1,1,87,0,6
87,bcp,1,1,88,0,6
88,bcp,1,1,89,0,6
89,bcp,1,1,90,0,6
90,bcp,1,1,91,0,6
91,bcp,1,1,92,0,6
92,bcp,1,1,93,0,6
93,bcp,1,1,94,0,6
94,bcp,1,1,95,0,6
95,bcp,1,1,96,0,6
96,bcp,1,1,97,1,6
97,bcp,1,1,98,1,6
98,bcp,1,1,99,0,6
99,bcp,1,1,100,0,6
100,bcp,1,1,101,0,6
101,bcp,1,1,102,0,6
102,bcp,1,1,103,0,6
103,bcp,1,1,104,0,6
104,bcp,1,1,105,0,6
105,bcp,1,1,106,0,6
106,bcp,1,1,107,0,6
107,bcp,1,1,108,0,6
108,bcp,1,1,109,0,6
109,bcp,1,1,110,0,6
110,bcp,1,1,111,0,6
111,bcp,1,1,112,0,6
112,bcp,1,1,113,0,6
113,bcp,1,1,114,0,6
114,bcp,1,1,115,0,6
115,bcp,1,1,116,0,6
116,bcp,1,1,117,0,6
117,bcp,1,1,118,0,6
118,bcp,1,1,119,0,6
119,bcp,1,1,120,0,6
120,bcp,1,1,121,0,6
121,bcp,1,1,122,0,6
122,bcp,1,1,123,0,6
123,bcp,1,1,124,0,6
124,bcp,1,1,125,0,6
125,bcp,1,1,126,0,6
126,bcp,1,1,127,0,6
127,bcp,1,1,128,0,6
128,bcp,1,1,129,0,6
129,bcp,1,1,130,0,6
130,bcp,1,1,131,0,6
131,bcp,1,1,132,0,6
132,bcp,1,1,133,0,6
133,bcp,1,1,134,0,6
134,bcp,1,1,135,0,6
135,bcp,1,1,136,0,6
136,bcp,1,1,137,0,6
137,bcp,1,1,138,0,6
138,bcp,1,1,139,0,6
139,bcp,1,1,140,0,6
140,bcp,1,1,141,0,6
141,bcp,1,1,142,0,6
142,bcp,1,1,143,0,6
143,bcp,1,1,144,0,6
144,bcp,1,1,145,0,6
145,bcp,1,1,146,0,6
146,bcp,1,1,147,0,6
147,bcp,1,1,148,0,6
148,bcp,1,1,149,0,6
149,bcp,1,1,150,0,6
150,bcp,1,2,1,0,3
151,bcp,1,2,2,0,3
152,bcp,1,2,3,0,3
153,bcp,1,2,4,0,3
154,bcp,1,2,5,0,3
155,bcp,1,2,6,0,3
156,bcp,1,2,7,0,3
157,bcp,1,2,8,0,3
158,bcp,1,2,9,0,3
159,bcp,1,2,10,0,3
160,bcp,1,2,11,0,3
161,bcp,1,2,12,0,3
162,bcp,1,2,13,0,3
163,bcp,1,2,14,0,3
164,bcp,1,2,15,0,3
165,bcp,1,2,16,1,3
166,bcp,1,2,17,1,3
167,bcp,1,2,18,1,3
168,bcp,1,2,19,0,3
169,bcp,1,2,20,0,3
170,bcp,1,2,21,1,3
171,bcp,1,2,22,1,3
172,bcp,1,2,23,0,3
173,bcp,1,2,24,1,3
174,bcp,1,2,25,0,3
175,bcp,1,2,26,1,3
176,bcp,1,2,27,1,3
177,bcp,1,2,28,0,3
178,bcp,1,2,29,1,3
179,bcp,1,2,30,1,3
180,bcp,1,2,31,0,3
181,bcp,1,2,32,0,3
182,bcp,1,2,33,1,3
183,bcp,1,2,34,1,3
184,bcp,1,2,35,1,3
185,bcp,1,2,36,1,3
186,bcp,1,2,37,1,3
187,bcp,1,2,38,1,3
188,bcp,1,2,39,0,3
189,bcp,1,2,40,1,3
190,bcp,1,2,41,1,3
191,bcp,1,2,42,1,3
192,bcp,1,2,43,1,3
193,bcp,1,2,44,1,3
194,bcp,1,2,45,1,3
195,bcp,1,2,46,1,3
196,bcp,1,2,47,1,3
197,bcp,1,2,48,1,3
198,bcp,1,2,49,1,3
199,bcp,1,2,50,0,3
200,bcp,1,2,51,1,3
201,bcp,1,2,52,0,3
202,bcp,1,2,53,1,3
203,bcp,1,2,54,1,3
204,bcp,1,2,55,1,3
205,bcp,1,2,56,1,3
206,bcp,1,2,57,1,3
207,bcp,1,2,58,1,3
208,bcp,1,2,59,0,3
209,bcp,1,2,60,1,3
210,bcp,1,2,61,1,3
211,bcp,1,2,62,1,3
212,bcp,1,2,63,1,3
213,bcp,1,2,64,0,3
214,bcp,1,2,65,1,3
215,bcp,1,2,66,1,3
216,bcp,1,2,67,1,3
217,bcp,1,2,68,1,3
218,bcp,1,2,69,1,3
219,bcp,1,2,70,1,3
220,bcp,1,2,71,0,3
221,bcp,1,2,72,1,3
222,bcp,1,2,73,0,3
223,bcp,1,2,74,0,3
224,bcp,1,2,75,0,3
225,bcp,1,2,76,1,3
226,bcp,1,2,77,0,3
227,bcp,1,2,78,0,3
228,bcp,1,2,79,0,3
229,bcp,1,2,80,0,3
230,bcp,1,2,81,0,3
231,bcp,1,2,82,1,3
232,bcp,1,2,83,0,3
233,bcp,1,2,84,0,3
234,bcp,1,2,85,0,3
235,bcp,1,2,86,0,3
236,bcp,1,2,87,0,3
237,bcp,1,2,88,0,3
238,bcp,1,2,89,0,3
239,bcp,1,2,90,1,3
240,bcp,1,2,91,0,3
241,bcp,1,2,92,0,3
242,bcp,1,2,93,0,3
243,bcp,1,2,94,0,3
244,bcp,1,2,95,0,3
245,bcp,1,2,96,0,3
246,bcp,1,2,97,0,3
247,bcp,1,2,98,0,3
248,bcp,1,2,99,0,3
249,bcp,1,2,100,0,3
250,bcp,1,2,101,0,3
251,bcp,1,2,102,0,3
252,bcp,1,2,103,0,3
253,bcp,1,2,104,0,3
254,bcp,1,2,105,0,3
255,bcp,1,2,106,0,3
256,bcp,1,2,107,0,3
257,bcp,1,2,108,0,3
258,bcp,1,2,109,0,3
259,bcp,1,2,110,0,3
260,bcp,1,2,111,0,3
261,bcp,1,2,112,0,3
262,bcp,1,2,113,0,3
263,bcp,1,2,114,0,3
264,bcp,1,2,115,0,3
265,bcp,1,2,116,0,3
266,bcp,1,2,117,0,3
267,bcp,1,2,118,0,3
268,bcp,1,2,119,0,3
269,bcp,1,2,120,0,3
270,bcp,1,2,121,0,3
271,bcp,1,2,122,0,3
272,bcp,1,2,123,0,3
273,bcp,1,2,124,0,3
274,bcp,1,2,125,0,3
275,bcp,1,2,126,0,3
276,bcp,1,2,127,0,3
277,bcp,1,2,128,0,3
278,bcp,1,2,129,0,3
279,bcp,1,2,130,0,3
280,bcp,1,2,131,0,3
281,bcp,1,2,132,0,3
282,bcp,1,2,133,0,3
283,bcp,1,2,134,0,3
284,bcp,1,2,135,0,3
285,bcp,1,2,136,0,3
286,bcp,1,2,137,0,3
287,bcp,1,2,138,0,3
288,bcp,1,2,139,0,3
289,bcp,1,2,140,0,3
290,bcp,1,2,141,0,3
291,bcp,1,2,142,0,3
292,bcp,1,2,143,0,3
293,bcp,1,2,144,0,3
294,bcp,1,2,145,0,3
295,bcp,1,2,146,0,3
296,bcp,1,2,147,0,3
297,bcp,1,2,148,0,3
298,bcp,1,2,149,0,3
299,bcp,1,2,150,0,3
300,bcp,1,3,1,0,4
301,bcp,1,3,2,0,4
302,bcp,1,3,3,0,4
303,bcp,1,3,4,0,4
304,bcp,1,3,5,0,4
305,bcp,1,3,6,0,4
306,bcp,1,3,7,0,4
307,bcp,1,3,8,0,4
308,bcp,1,3,9,0,4
309,bcp,1,3,10,0,4
310,bcp,1,3,11,0,4
